#CODE;ENGLISH;;;;;;;;;;;;;x

#------------------------------------------------------------------------------#
# Unique Building                                                              #
#------------------------------------------------------------------------------#
ca_hospital_1;¬ÈÌç‰êˆ;;;;;;;;;;;;;x
ca_hospital_2;¬ÈÌç‰êˆ;;;;;;;;;;;;;x
ca_hospital_3;¬ÈÌç‰êˆ;;;;;;;;;;;;;x
ca_hospital_4;¬ÈÌç‰êˆ;;;;;;;;;;;;;x

ca_hospital_1_desc;²¹Ì¬´ ª³ëÀİ²³Ğ êŠ «·ÚåÆÌ ¡·ÌèÁĞ«ÈÙ¢È¥³.\n;;;;;;;;;;;;;x
ca_hospital_2_desc;²¹Ì¬´ ª³ëÀİ²³Ğ êŠ «·ÚåÆÌ ¡·ÌèÁĞ«ÈÙ¢È¥³.\n;;;;;;;;;;;;;x
ca_hospital_3_desc;²¹Ì¬´ ª³ëÀİ²³Ğ êŠ «·ÚåÆÌ ¡·ÌèÁĞ«ÈÙ¢È¥³.\n;;;;;;;;;;;;;x
ca_hospital_4_desc;²¹Ì¬´ ª³ëÀİ²³Ğ êŠ «·ÚåÆÌ ¡·ÌèÁĞ«ÈÙ¢È¥³.\n;;;;;;;;;;;;;x

tb_hospital_1;¬ÈÌç‰êˆ;;;;;;;;;;;;;x

tb_hospital_1_desc;²¹Ì¬´ ª³ëÀİ²³Ğ êŠ «·ÚåÆÌ ¡·ÌèÁĞ«ÈÙ¢È¥³.\n;;;;;;;;;;;;;x

fp_hospital_1;¬ÈÌç‰êˆ;;;;;;;;;;;;;x
fp_hospital_2;¬ÈÌç‰êˆ;;;;;;;;;;;;;x
fp_hospital_3;¬ÈÌç‰êˆ;;;;;;;;;;;;;x
fp_hospital_4;¬ÈÌç‰êˆ;;;;;;;;;;;;;x

fp_hospital_1_desc;²¹Ì¬´ ª³ëÀİ²³Ğ êŠ «·ÚåÆÌ ¡·ÌèÁĞ«ÈÙ¢È¥³.\n;;;;;;;;;;;;;x
fp_hospital_2_desc;²¹Ì¬´ ª³ëÀİ²³Ğ êŠ «·ÚåÆÌ ¡·ÌèÁĞ«ÈÙ¢È¥³.\n;;;;;;;;;;;;;x
fp_hospital_3_desc;²¹Ì¬´ ª³ëÀİ²³Ğ êŠ «·ÚåÆÌ ¡·ÌèÁĞ«ÈÙ¢È¥³.\n;;;;;;;;;;;;;x
fp_hospital_4_desc;²¹Ì¬´ ª³ëÀİ²³Ğ êŠ «·ÚåÆÌ ¡·ÌèÁĞ«ÈÙ¢È¥³.\n;;;;;;;;;;;;;x

