OPTPA_10000;Bow before your [Root.GetTitle]!;;;;;;;;;x 
OPTPA_10001;What a loss for the Empire!;;;;;;;;;x 
OPTPA_10002;Excellent!;;;;;;;;;x 
OPTPA_10003;This will bring glory to my family!;;;;;;;;;x 
OPTAPA_10005;Let them in. We need more soldiers.;;;;;;;;;x 
OPTBPA_10005;Send these unwashed barbarians away!;;;;;;;;;x 
OPTAPA_10006;The more the merrier!;;;;;;;;;x 
OPTBPA_10006;We have enough of them.;;;;;;;;;x 
OPTAPA_10007;Wipe them out. All of them!;;;;;;;;;x 
OPTBPA_10007;Expel the barbarians at once!;;;;;;;;;x 
OPTPA_10008;I feel safer already!;;;;;;;;;x 
OPTPA_10009;It has been far too long.;;;;;;;;;x 
OPTPA_10010;A blow to the Empire.;;;;;;;;;x 
OPTAPA_10011;Accidents happen.;;;;;;;;;x 
OPTBPA_10011;Throw him in jail!;;;;;;;;;x 
OPTPA_10012;Bow before your [Root.GetTitle]!;;;;;;;;;x 
OPTPA_10013;What a loss for the Empire!;;;;;;;;;x 
OPTPA_10014;Bow before your [Root.GetTitle]!;;;;;;;;;x 
OPTPA_10015;What a loss for the Empire!;;;;;;;;;x 
OPTPA_10016;Bow before your [Root.GetTitle]!;;;;;;;;;x 
OPTPA_10017;What a loss for the Empire!;;;;;;;;;x 
OPTPA_10018;Bow before your [Root.GetTitle]!;;;;;;;;;x 
OPTPA_10019;What a loss for the Empire!;;;;;;;;;x 
OPTPA_10020;A necessary decision.;;;;;;;;;x 
OPTPA_10021;Catholic Byzantium?;;;;;;;;;x 
OPTPA_10022;About time.;;;;;;;;;x 
OPTAPA_10023;Send the imperial guard to contain the blaze!;;;;;;;;;x 
OPTBPA_10023;Oh well, I wanted to build a new palace anyway.;;;;;;;;;x 
OPTPA_10024;The Eternal City was saved.;;;;;;;;;x 
OPTPA_10025;I can't even play the fiddle!;;;;;;;;;x 
OPTPA_10026;The phoenix rises!;;;;;;;;;x 
OPTAPA_10027;For [Root.Religion.GetRandomGodName] and Armenia!;;;;;;;;;x 
OPTBPA_10027;Foolish posturing.;;;;;;;;;x 
OPTPA_10028;That wasn't a long farewell.;;;;;;;;;x 
OPTPA_10029;Justinian would be proud!;;;;;;;;;x 
OPTPA_10030;Carthaginem debent restitui!;;;;;;;;;x 
OPTPA_10031;[Root.Religion.GetRandomGodName] be praised!;;;;;;;;;x 
OPTAPA_10032;If that's the way the wing is blowing...;;;;;;;;;x 
OPTBPA_10032;I will never give up my faith! Never!;;;;;;;;;x 
OPTAPA_10033;For [Root.Religion.GetRandomGodName] and Rome!;;;;;;;;;x 
OPTBPA_10033;Foolish posturing.;;;;;;;;;x 
OPTAPA_10034;Deus vult!;;;;;;;;;x 
OPTBPA_10034;Ridiculous.;;;;;;;;;x 
OPTAPA_10035;Do it, we need the money.;;;;;;;;;x 
OPTBPA_10035;No, we'll find another way.;;;;;;;;;x 
OPTAPA_10036;Do it, we need the money.;;;;;;;;;x 
OPTBPA_10036;No, we'll find another way.;;;;;;;;;x 
OPTAPA_10037;The co-capital is finally ours!;;;;;;;;;x 
OPTPA_10038;May Athena bless our armies!;;;;;;;;;x 
OPTPA_10039;Romanes eunt domus!;;;;;;;;;x 
OPTPA_10071;May [Root.Religion.GetRandomGodName] bless [Root.GetTitledFirstName]!;;;;;;;;;x 
OPTPA_10072;The co-capital is finally ours!;;;;;;;;;x 
