title_patrikos_greek;Patrikos;x;;x;;;;;;;;;x
title_patrikos;Patricius;x;;x;;;;;;;;;x
title_patrikos_desc;The Patrikos, Patricius or in english, Patrician, was a member of the ruling class of the Roman Republic, the title continued on as an honorific one into to the Roman Empire, and is considered quite prestigious;x;;x;;;;;;;;;x

title_spatharios_greek;Spatharios;x;;x;;;;;;;;;x
title_spatharios;Spatharius;x;;x;;;;;;;;;x
title_spatharios_desc;The Spatharii were once members of class of imperial bodyguards, the title is now purely honorific, however;x;;x;;;;;;;;;x

title_protospatharios_greek;Protospatharios;x;;x;;;;;;;;;x
title_protospatharios;Primospatharius;x;;x;;;;;;;;;x
title_protospatharios_desc;Originally denoting the leader of the Spatharii, the title is now purely honorific;x;;x;;;;;;;;;x

title_hypatos_greek;Hypatos;x;;x;;;;;;;;;x
title_hypatos;Consul;x;;x;;;;;;;;;x
title_hypatos_desc;Originally denoting the elected leaders of the Roman Republic, this title is now a very prestigious honorific;x;;x;;;;;;;;;x

title_dromos_greek;Dromos;x;;x;;;;;;;;;x
title_dromos;Cursus;x;;x;;;;;;;;;x
title_dromos_desc;The Dromos, or Cursus in Latin, is the head of the department of the Public Post as well as one of the most senior fiscal ministers of the empire;x;;x;;;;;;;;;x

title_kanikleios_greek;Kanikleios;x;;x;;;;;;;;;x
title_kanikleios;Canicula;x;;x;;;;;;;;;x
title_kanikleios_desc;The Keeper of the Imperial Inkstand, which the emperor uses to sign state documents;x;;x;;;;;;;;;x

title_parakoimomenos_greek;Parakoimomenos;x;;x;;;;;;;;;x
title_parakoimomenos;Parakoimomenos;x;;x;;;;;;;;;x
title_parakoimomenos_desc;Literally "The one who sleeps nearby", this position denotes one of the highest position for a eunuch in the empire, guarding the emperors bedchamber;x;;x;;;;;;;;;x

title_praipositos_greek;Praipositos;x;;x;;;;;;;;;x
title_praipositos;Praepositus;x;;x;;;;;;;;;x
title_praipositos_desc;The High Chamberlain of the Great Palace, this posiition is nominally the highest position for a eunuch in the empire;x;;x;;;;;;;;;x
