#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;;;;;;;;;;;;;;;0
########################################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#West_african_pagan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
duke_west_african_pagan;Maghan;Maghan;Maghan;;Maghan;;;;;;;;;x;;;;;;;;;;;;;;;
duke_female_west_african_pagan;Manga;Manga;Manga;;Manga;;;;;;;;;x;;;;;;;;;;;;;;;
count_west_african_pagan;Farin;Farin;Farin;;Farin;;;;;;;;;x;;;;;;;;;;;;;;;
count_female_west_african_pagan;Farina;Farina;Farina;;Farina;;;;;;;;;x;;;;;;;;;;;;;;;
baron_west_african_pagan;Kafi;Kafi;Kafi;;Kafi;;;;;;;;;x;;;;;;;;;;;;;;;
baron_female_west_african_pagan;Kafuna;Kafuna;Kafuna;;Kafuna;;;;;;;;;x;;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#Soninke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baron_soninke;Kafi;Kafi;Kafi;;Kafi;;;;;;;;;x;;;;;;;;;;;;;;;
baron_female_soninke;Kafuna;Kafuna;Kafuna;;Kafuna;;;;;;;;;x;;;;;;;;;;;;;;;
baron_title_ruler_consort_soninke;Kafi;Kafi;Kafi;;Kafi;;;;;;;;;x;;;;;;;;;;;;;;;
baron_title_ruler_consort_female_soninke;Kafuna;Kafuna;Kafuna;;Kafuna;;;;;;;;;x;;;;;;;;;;;;;;;
count_soninke;Farin;Farin;Farin;;Farin;;;;;;;;;x;;;;;;;;;;;;;;;
count_female_soninke;Farina;Farina;Farina;;Farina;;;;;;;;;x;;;;;;;;;;;;;;;
count_title_ruler_consort_soninke;Farin;Farin;Farin;;Farin;;;;;;;;;x;;;;;;;;;;;;;;;
count_title_ruler_consort_female_soninke;Farina;Farina;Farina;;Farina;;;;;;;;;x;;;;;;;;;;;;;;;
duke_soninke;Maghan;Maghan;Maghan;;Maghan;;;;;;;;;x;;;;;;;;;;;;;;;
duke_female_soninke;Manga;Manga;Manga;;Manga;;;;;;;;;x;;;;;;;;;;;;;;;
duke_title_ruler_consort_soninke;Maghan;Maghan;Maghan;;Maghan;;;;;;;;;x;;;;;;;;;;;;;;;
duke_title_ruler_consort_female_soninke;Manga;Manga;Manga;;Manga;;;;;;;;;x;;;;;;;;;;;;;;;
king_soninke;Ghana;Ghana;Ghana;;Ghana;;;;;;;;;x;;;;;;;;;;;;;;;
king_female_soninke;Ghanina;Ghanina;Ghanina;;Ghanina;;;;;;;;;x;;;;;;;;;;;;;;;
king_title_ruler_consort_soninke;Ghana;Ghana;Ghana;;Ghana;;;;;;;;;x;;;;;;;;;;;;;;;
king_title_ruler_consort_female_soninke;Ghanina;Ghanina;Ghanina;;Ghanina;;;;;;;;;x;;;;;;;;;;;;;;;
emperor_soninke;Mansa;Mansa;Mansa;;Mansa;;;;;;;;;x;;;;;;;;;;;;;;;
emperor_female_soninke;Mansina;Mansina;Mansina;;Mansina;;;;;;;;;x;;;;;;;;;;;;;;;
emperor_title_ruler_consort_female_soninke;Mansina;Mansina;Mansina;;Mansina;;;;;;;;;x;;;;;;;;;;;;;;;
title_prince_soninke;Maghan;Maghan;Maghan;;Maghan;;;;;;;;;x;;;;;;;;;;;;;;;
title_prince_female_soninke;Manga;Manga;Manga;;Manga;;;;;;;;;x;;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#Sanhaja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
baron_sanhaja;Wâli;Wâli;Wâli;;Valí;;;;;;;;;x;;;;;;;;;;;;;;;
count_sanhaja;Sheikh;Cheikh;Scheich;;Jeque;;;;;;;;;x;;;;;;;;;;;;;;;
count_female_sanhaja;Shaykhah;Cheykha;Shaykhah;;Jequesa;;;;;;;;;x;;;;;;;;;;;;;;;
barony_of_sanhaja;Wilayah of;Wilaya de;Wilayah von;;Vilayato de;;;;;;;;;x;;;;;;;;;;;;;;;
county_of_sanhaja;Sheikhdom of;Cheikat de;Scheichtum von;;Dominio del Jeque;;;;;;;;;x;;;;;;;;;;;;;;;
duchy_of_sanhaja;Emirate of;Émirat de;Emirat von;;Emirato de;;;;;;;;;x;;;;;;;;;;;;;;;
kingdom_of_sanhaja;Sultanate of;Sultanat de;Sultanat von;;Sultanato de;;;;;;;;;x;;;;;;;;;;;;;;;
duke_sanhaja;Emir;Émir;Emir;;Emir;;;;;;;;;x;;;;;;;;;;;;;;;
duke_female_sanhaja;Emira;Émirat;Emirin;;Emira;;;;;;;;;x;;;;;;;;;;;;;;;
king_sanhaja;Sultan;Sultan;Sultan;;Sultán;;;;;;;;;x;;;;;;;;;;;;;;;
king_female_sanhaja;Sultana;Sultane;Sultanin;;Sultana;;;;;;;;;x;;;;;;;;;;;;;;;
