EVTDESCappointment.2;With the death of [From.GetTitledFirstName] [From.GetHerHis] ducal title has reverted to me. However, there is the matter of [From.GetHerHis] offspring to consider. It is somewhat customary to reward the family if a governor served the state well.;;;;;;;;;x 
opinion_duchy_appointment;Appointed as Governor;;;;;;;;;x 
opinion_heirs_not_paid_off;Disappointed;;;;;;;;;x 
OTPAPP_1;Okay.;;;;;;;;;x 
OTPAAPP_2;Grant the title to the oldest.;;;;;;;;;x 
OTPBAPP_2;Some gold should satisfy them.;;;;;;;;;x 
OTPCAPP_2;Who cares about commoners?;;;;;;;;;x 
CB_NAME_RIDDA;Ridda Wars;;;;;;x
CB_NAME_RIDDA_desc;Ridda Wars;;;;;;x
PROV1490;Lekia;;;;;x
PROV1491;Sarir;;;;;x
PROV1492;Klarjeti;;;;;x
PROV1493;Kvemo Kartli;;;;;x
PROV1494;Qarbala;;;;;x
PROV1495;Barda'a;;;;;x
PROV1496;Khachen;;;;;x
PROV1497;Lake Van;;;;;x
PROV1498;Amid;;;;;x
PROV1499;Oxus River;;;;;x
PROV1500;Oxus River;;;;;x
PROV1501;Oxus River;;;;;x
PROV1502;Oxus River;;;;;x
PROV1503;Oxus River;;;;;x
PROV1504;Sarygamysh Lake;;;;;x
PROV1505;Uzboy River;;;;;x
PROV1506;Uzboy River;;;;;x
PROV1507;Uzboy River;;;;;x
PROV1508;Syr Darya;;;;x
PROV1509;Syr Darya;;;;x
PROV1510;Syr Darya;;;;x
PROV1511;Syr Darya;;;;x
PROV1512;Syr Darya;;;;x
PROV1513;Syr Darya;;;;x
k_umayyad;Cordoba;;;x
