#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_kirkuk_adj;Arbili;Arbili;Arbili;;Arbili;;;;;;;;;x
c_ilam_adj;Shahrazuri;Shahrazuri;Shahrazuri;;Shahrazuri;;;;;;;;;x
;;;;;;;;;;;;;;
c_al_nasiryah_adj;Raqqan;Raqqan;Raqqan;;Raqqan;;;;;;;;;x
c_al_nadjaf_adj;Anbari;Anbari;Anbari;;Anbari;;;;;;;;;x
c_karbala_adj;Hillan;Hillan;Hillan;;Hillan;;;;;;;;;x
c_deir_adj;Tikriti;Tikriti;Tikriti;;Tikriti;;;;;;;;;x
c_euphrates_adj;Samarran;Samarran;Samarran;;Samarran;;;;;;;;;x
c_al_jazira_adj;Harrani;Harrani;Harrani;;Harrani;;;;;;;;;x
c_bira_adj;Mayyafariqini;Mayyafariqini;Mayyafariqini;;Mayyafariqini;;;;;;;;;x
c_manbij_adj;Manbiji;Manbiji;Manbiji;;Manbiji;;;;;;;;;x
c_asas_adj;Hunasiran;Hunasiran;Hunasiran;;Hunasiran;;;;;;;;;x
c_al_bichri_adj;Suriyan;Suriyan;Suriyan;;Suriyan;;;;;;;;;x
c_druz_adj;Wasiti;Wasiti;Wasiti;;Wasiti;;;;;;;;;x
c_kanem_adj;Kanemian;Kanemian;Kanemian;;Kanemian;;;;;;;;;x
c_igharayn_adj;Igharayni;Igharayni;Igharayni;;Igharayni;;;;;;;;;x
c_ar_ar_adj;Yamaman;Yamaman;Yamaman;;Yamaman;;;;;;;;;x
c_hijaz_adj;Khaybari;Khaybari;Khaybari;;Khaybari;;;;;;;;;x
c_kawar_adj;Kawaran;Kawaran;Kawaran;;Kawaran;;;;;;;;;x
c_madaba_adj;Madaban;Madaban;Madaban;;Madaban;;;;;;;;;x
c_amman_adj;Balqan;Balqan;Balqan;;Balqan;;;;;;;;;x
c_irbid_adj;Haurani;Haurani;Haurani;;Haurani;;;;;;;;;x
