d_pharoah;Pharoah;;;;x
e_egypt;Egyptian Empire;;;;x
k_arian;Arian Papacy;;;;x
k_eutychian;Eutychian Patriarch;;;;x
k_visigoth;Visigoth;;;;x
k_nabatea;Nabatea;;;;x
k_hirah;Hirah;;;;x
k_bahrain;Bahrain;;;;x
e_avar;Avaria;;;;x
k_wend;Wend;;;;x
b_quraqir;Quraqir;;;;x
b_ainassil;Ainassil;;;;x
b_ihnas;Ihnas;;;;x
b_bamuya;Bamuya;;;;x
b_nastarawa;Nastarawa;;;;x
b_birumgrein;Birumgrein;;;;x
b_gayakebbi;Garakebbi;;;;x
d_guardians_of_light;Guardians of Light;;;;x
d_zhayedan_1;Zhayedanv
d_zhayedan_2;Zhayedan;;;;x
k_governate_persia;Governorate of Persia;;;;x
e_macedonia;Empire of Macedonia;;;;;;;;;;x
