#CODE;ENGLISH;;;;;;;;;;;;;x
INSULT_OLD;old;;;;;;;;;;;;;x
INSULT_TADPOLE;tadpole;;;;;;;;;;;;;x
INSULT_CHILD;child;;;;;;;;;;;;;x
INSULT_VILE;vile;;;;;;;;;;;;;x
INSULT_FOUL;foul;;;;;;;;;;;;;x
INSULT_FILTHY;filthy;;;;;;;;;;;;;x
INSULT_CLOWN;clown;;;;;;;;;;;;;x
INSULT_COW;cow;;;;;;;;;;;;;x
INSULT_INFIDEL;infidel;;;;;;;;;;;;;x
INSULT_HERETIC;heretic;;;;;;;;;;;;;x
INSULT_GROTESQUE;grotesque;;;;;;;;;;;;;x
INSULT_DWARF;dwarf;;;;;;;;;;;;;x
INSULT_CLUBFOOT;clubfoot;;;;;;;;;;;;;x
INSULT_LIMPING;limping;;;;;;;;;;;;;x
INSULT_HARELIP;harelip;;;;;;;;;;;;;x
INSULT_CLEFT_LIPPED;cleft-lipped;;;;;;;;;;;;;x
INSULT_BASTARD;bastard;;;;;;;;;;;;;x
INSULT_BASEBORN;baseborn;;;;;;;;;;;;;x
INSULT_KINSLAYER;kinslayer;;;;;;;;;;;;;x
INSULT_SODOMITE;sodomite;;;;;;;;;;;;;x
INSULT_DULLARD;dullard;;;;;;;;;;;;;x
INSULT_DIM;dim;;;;;;;;;;;;;x
INSULT_VACUOUS;vacuous;;;;;;;;;;;;;x
INSULT_NITWIT;nitwit;;;;;;;;;;;;;x
INSULT_IMBECILE;imbecile;;;;;;;;;;;;;x
INSULT_FREAK;freak;;;;;;;;;;;;;x
INSULT_ABOMINATION;abomination;;;;;;;;;;;;;x
INSULT_MONSTROUS;monstrous;;;;;;;;;;;;;x
INSULT_HIDEOUS;hideous;;;;;;;;;;;;;x
INSULT_WEAKLING;weakling;;;;;;;;;;;;;x
INSULT_LESBIAN;lesbian;;;;;;;;;;;;;x
INSULT_SAPPHIC;sapphic;;;;;;;;;;;;;x
INSULT_HUNCHBACK;hunchback;;;;;;;;;;;;;x
INSULT_CROOKED;crooked;;;;;;;;;;;;;x
INSULT_LISPER;lisper;;;;;;;;;;;;;x
INSULT_FALTERING;faltering;;;;;;;;;;;;;x
INSULT_STUTTERING;stuttering;;;;;;;;;;;;;x
INSULT_GORGON;gorgon;;;;;;;;;;;;;x
INSULT_IDIOT;idiot;;;;;;;;;;;;;x
INSULT_TORTURER;torturer;;;;;;;;;;;;;x
INSULT_LECHER;lecher;;;;;;;;;;;;;x
INSULT_LECHEROUS;lecherous;;;;;;;;;;;;;x
INSULT_GLUTTON;glutton;;;;;;;;;;;;;x
INSULT_GORGING;gorging;;;;;;;;;;;;;x
INSULT_VENAL;venal;;;;;;;;;;;;;x
INSULT_INDOLENT;indolent;;;;;;;;;;;;;x
INSULT_EVIL;evil;;;;;;;;;;;;;x
INSULT_ENVIOUS;envious;;;;;;;;;;;;;x
INSULT_HARRIDAN;harridan;;;;;;;;;;;;;x
INSULT_RAGING;raging;;;;;;;;;;;;;x
INSULT_DECEITFUL;deceitful;;;;;;;;;;;;;x
INSULT_CRAVEN;craven;;;;;;;;;;;;;x
INSULT_COWARD;coward;;;;;;;;;;;;;x
INSULT_SCATTERBRAIN;scatterbrain;;;;;;;;;;;;;x
INSULT_ERRATIC;erratic;;;;;;;;;;;;;x
INSULT_BIGOT;bigot;;;;;;;;;;;;;x
INSULT_BIGOTED;bigoted;;;;;;;;;;;;;x
INSULT_PARANOID;paranoid;;;;;;;;;;;;;x
INSULT_FOOL;fool;;;;;;;;;;;;;x
INSULT_GULLIBLE;gullible;;;;;;;;;;;;;x
INSULT_CRUEL;cruel;;;;;;;;;;;;;x
INSULT_BRUTE;brute;;;;;;;;;;;;;x
INSULT_FIEND;fiend;;;;;;;;;;;;;x
INSULT_CALLOUS;callous;;;;;;;;;;;;;x
INSULT_WANTON;wanton;;;;;;;;;;;;;x
INSULT_SENILE;senile;;;;;;;;;;;;;x
INSULT_CRIPPLE;cripple;;;;;;;;;;;;;x
INSULT_VEGETABLE;vegetable;;;;;;;;;;;;;x
INSULT_BESOTTED;besotted;;;;;;;;;;;;;x
INSULT_DRUNKARD;drunkard;;;;;;;;;;;;;x
INSULT_UNCLEAN;unclean;;;;;;;;;;;;;x
INSULT_LEPER;leper;;;;;;;;;;;;;x
INSULT_BAT;bat;;;;;;;;;;;;;x
INSULT_DEMONIC;demonic;;;;;;;;;;;;;x
INSULT_DEMENTED;demented;;;;;;;;;;;;;x
INSULT_LUNATIC;lunatic;;;;;;;;;;;;;x
INSULT_LUGUBRIOUS;lugubrious;;;;;;;;;;;;;x
INSULT_CRAZED;crazed;;;;;;;;;;;;;x
INSULT_DEVIL_WOMAN;devil-woman;;;;;;;;;;;;;x
INSULT_WARLOCK;warlock;;;;;;;;;;;;;x
INSULT_EFFEMINATE;effeminate;;;;;;;;;;;;;x
INSULT_UNMANNED;unmanned;;;;;;;;;;;;;x
INSULT_EUNUCH;eunuch;;;;;;;;;;;;;x
INSULT_BLIND;blind;;;;;;;;;;;;;x
INSULT_PEASANT;peasant;;;;;;;;;;;;;x
INSULT_PEASANT_WOMAN;peasant woman;;;;;;;;;;;;;x
INSULT_LOWBORN;lowborn;;;;;;;;;;;;;x
INSULT_HERESIARCH;heresiarch;;;;;;;;;;;;;x
INSULT_SYBARITE;sybarite;;;;;;;;;;;;;x
INSULT_DECADENT;decadent;;;;;;;;;;;;;x
INSULT_WHOREMONGER;whoremonger;;;;;;;;;;;;;x
